Date,Description,Category,Debit,Credit
2024-03-31,Uber - Ride to office,Transport,836,
2024-03-30,Electricity Bill - Monthly,Utilities,1143,
2024-03-29,Bonus - Company performance,Income,,38896
2024-03-29,Movie - PVR Cinemas,Entertainment,1662,
2024-03-29,Electricity Bill - Office,Utilities,2516,
2024-03-29,Movie - AMC,Entertainment,3685,
2024-03-29,Grocery - Supermarket,Shopping,1051,
2024-03-28,Electricity Bill - Home,Utilities,2454,
2024-03-28,Salary - Monthly,Income,,75000
2024-03-28,Electricity Bill - Office,Utilities,3393,
2024-03-27,Uber - Airport,Transport,4527,
2024-03-27,Movie - Netflix Subscription,Entertainment,1110,
2024-03-27,Pharmacy - Medicines,Health,2920,
2024-03-27,Uber - City ride,Transport,4519,
2024-03-27,Bonus - Project completion,Income,,41156
2024-03-26,Uber - Commute,Transport,2867,
2024-03-26,Amazon - Shopping,Shopping,2205,
2024-03-25,Electricity Bill - Home,Utilities,2787,
2024-03-25,Uber - Late night,Transport,4366,
2024-03-24,Movie - Weekend,Entertainment,2596,
2024-03-22,Uber - Office,Transport,1167,
2024-03-22,Amazon - Electronics,Shopping,1682,
2024-03-20,Pharmacy - Prescription,Health,415,
2024-03-20,Pharmacy - Vitamins,Health,1211,
2024-03-20,Uber - Shopping,Transport,3541,
2024-03-20,Uber - Friend's place,Transport,2962,
2024-03-19,Uber - Early morning,Transport,939,
2024-03-19,Pharmacy - Monthly,Health,3614,
2024-03-18,Uber - Party,Transport,4319,
2024-03-16,Grocery - Weekly,Shopping,4092,
2024-03-16,Movie - Theater,Entertainment,2233,
2024-03-16,Grocery - Weekend,Shopping,1483,
2024-03-16,Electricity Bill - Office,Utilities,2586,
2024-03-15,Electricity Bill - Maintenance,Utilities,567,
2024-03-15,Electricity Bill - Deposit,Utilities,1831,
2024-03-15,Grocery - Bulk,Shopping,3597,
2024-03-14,Freelance - Web project,Income,,20075
2024-03-14,Uber - Client meeting,Transport,2108,
2024-03-12,Freelance - App development,Income,,69005
2024-03-11,Movie - OTT Subscription,Entertainment,2322,
2024-03-11,Electricity Bill - Adjustment,Utilities,2259,
2024-03-10,Grocery - Monthly,Shopping,3094,
2024-03-09,Electricity Bill - Refund,Utilities,1374,
2024-03-09,Amazon - Books,Shopping,3694,
2024-03-08,Bonus - Performance,Income,,63910
2024-03-08,Movie - Cinema,Entertainment,1182,
2024-03-08,Pharmacy - Emergency,Health,3963,
2024-03-07,Electricity Bill - Office,Utilities,4777,
2024-03-07,Grocery - Organic,Shopping,3594,
2024-03-06,Uber - Late evening,Transport,4292,
2024-03-05,Bonus - Year end,Income,,61554
2024-03-05,Pharmacy - Regular,Health,1046,
2024-03-04,Freelance - Design,Income,,22449
2024-03-04,Uber - Morning,Transport,4375,
2024-03-04,Uber - Evening,Transport,2736,
2024-03-03,Pharmacy - Monthly stock,Health,2326,
2024-03-02,Bonus - Special,Income,,22458
2024-03-02,Amazon - Gadgets,Shopping,4682,
2024-03-02,Electricity Bill - Deposit return,Utilities,2301,
2024-03-02,Grocery - Quick buy,Shopping,2606,
2024-03-01,Amazon - Home decor,Shopping,3961,
